Residence,Region,Sub-Region,Period,Business,Pleasure,Visit Relatives,Conference,Study,Exhibition,Medical Treatment,Others,Unstated
Austria,Europe,,2017-01,143,203,95,4,12,2,0,127,0
United Kingdom,Europe,,2017-01,901,2308,624,26,27,9,0,1395,0
Spain,Europe,,2017-01,151,326,100,8,37,1,0,258,0
Switzerland,Europe,,2017-01,193,335,122,6,8,0,0,180,0
Netherlands,Europe,,2017-01,518,796,202,5,40,4,0,431,0
Sweden,Europe,,2017-01,219,264,72,8,25,0,0,181,0
India,Asia,,2017-01,858,269,77,66,15,1,0,867,0
Thailand,Asia,Southeast Asia,2017-01,708,11260,798,126,50,13,7,3993,0
Japan,Asia,,2017-01,16971,97761,2399,484,274,44,11,11459,0
"Korea,Republic of",Asia,,2017-01,4439,98852,1846,267,709,243,7,5715,0
Russian Federation,Europe,,2017-01,107,146,33,2,21,0,1,191,0
Mainland China,Asia,,2017-01,833,204534,8204,33,468,2,1940,39675,0
HongKong. Macao,Asia,,2017-01,6322,95905,5047,488,127,5,163,3986,0
Philippines,Asia,Southeast Asia,2017-02,544,6236,278,133,51,10,30,9636,0
Australia,Oceania,,2017-02,699,2864,880,63,42,11,9,980,0
New Zealand,Oceania,,2017-02,148,322,169,15,8,3,2,195,0
"Others, Oceania",Oceania,,2017-02,21,125,12,0,10,0,53,85,0
S. Africa,Africa,,2017-02,62,59,40,1,1,2,0,424,0
"Others, Africa",Africa,,2017-02,125,39,21,1,32,4,1,241,0
Unstated,,,2017-02,3,9,3,0,1,1,1,93,0
Indonesia,Asia,Southeast Asia,2017-02,428,2644,540,50,228,7,49,10976,0
Singapore,Asia,Southeast Asia,2017-02,3363,18312,791,276,106,13,19,3004,0
Malaysia,Asia,Southeast Asia,2017-02,1473,23589,1063,305,410,28,66,18816,0
Middle East,Asia,,2017-02,513,310,49,12,18,4,0,336,0
India,Asia,,2017-02,885,247,65,89,67,3,1,1626,0
"Korea,Republic of",Asia,,2017-02,4707,81497,1286,361,875,185,12,5880,0
Japan,Asia,,2017-02,19317,114082,1200,587,729,28,6,12159,0
Mainland China,Asia,,2017-02,1237,144512,4649,33,8600,2,1032,42222,0
HongKong. Macao,Asia,,2017-02,6282,81553,3013,368,239,13,182,14533,0
Sweden,Europe,,2017-02,207,208,53,5,45,0,0,171,0
Greece,Europe,,2017-02,41,22,4,1,0,0,0,56,0
"Others, Europe",Europe,,2017-02,723,1259,165,48,156,13,1,1026,0
United Kingdom,Europe,,2017-02,977,1706,300,69,48,19,0,1294,0
Thailand,Asia,Southeast Asia,2017-02,775,14598,446,147,188,53,12,5548,0
Vietnam,Asia,Southeast Asia,2017-02,414,6229,1241,41,231,6,11,21222,0
"Others, Southeast Asia",Asia,Southeast Asia,2017-02,60,457,123,21,15,1,75,586,0
"Others, Asia",Asia,,2017-02,112,110,54,16,59,2,15,478,0
Austria,Europe,,2017-02,139,160,62,6,24,0,0,100,0
United States of America,America,,2017-02,7554,11949,8502,233,221,27,28,6966,0
Mexico,America,,2017-02,38,70,13,5,25,5,0,67,0
Brazil,America,,2017-02,56,62,50,4,7,0,0,97,0
Canada,America,,2017-02,661,3746,1274,44,65,9,5,1662,0
"Others, America",America,,2017-02,69,188,77,7,45,13,0,714,0
Argentina,America,,2017-02,15,27,13,1,2,0,0,33,0
Spain,Europe,,2017-02,183,219,59,6,66,0,1,223,0
Switzerland,Europe,,2017-02,244,282,65,10,40,5,0,167,0
Netherlands,Europe,,2017-02,583,642,96,3,65,0,1,347,0
Russian Federation,Europe,,2017-02,147,95,15,12,16,1,0,251,0
Germany,Europe,,2017-02,1499,1649,255,61,184,6,1,798,0
France,Europe,,2017-02,713,1096,368,27,256,14,1,1010,0
Belgium,Europe,,2017-02,143,144,24,4,30,2,0,73,0
Italy,Europe,,2017-02,537,287,69,23,53,4,1,272,0
HongKong. Macao,Asia,,2017-03,8621,107785,3077,625,167,20,263,3486,0
Mainland China,Asia,,2017-03,1438,154203,4798,67,833,26,1713,38521,0
Japan,Asia,,2017-03,25349,158219,2247,1065,797,155,13,9979,0
"Korea,Republic of",Asia,,2017-03,6786,72344,1496,483,477,376,4,4979,0
India,Asia,,2017-03,1417,399,95,149,14,164,3,1037,0
Middle East,Asia,,2017-03,954,582,50,58,25,133,4,454,0
S. Africa,Africa,,2017-03,135,95,48,17,5,21,0,105,0
"Others, Africa",Africa,,2017-03,203,53,21,20,23,21,1,180,0
"Others, Asia",Asia,,2017-03,329,181,61,43,23,38,18,390,0
Indonesia,Asia,Southeast Asia,2017-03,604,3222,674,170,59,166,51,9997,0
Philippines,Asia,Southeast Asia,2017-03,852,12337,500,351,47,89,30,10168,0
Thailand,Asia,Southeast Asia,2017-03,1305,22719,910,300,216,288,7,5601,0
Vietnam,Asia,Southeast Asia,2017-03,983,16000,2067,122,142,64,23,14392,0
"Others, Southeast Asia",Asia,Southeast Asia,2017-03,132,569,191,31,14,7,124,457,0
Canada,America,,2017-03,840,5965,2024,101,43,33,14,1712,0
United States of America,America,,2017-03,10873,18301,12991,646,272,87,34,6766,0
Mexico,America,,2017-03,112,124,19,33,7,15,0,84,0
Brazil,America,,2017-03,191,126,41,20,3,14,0,102,0
Malaysia,Asia,Southeast Asia,2017-03,2033,46144,1317,524,104,357,79,4176,0
"Others, America",America,,2017-03,223,220,60,34,53,24,1,336,0
Belgium,Europe,,2017-03,232,312,27,23,10,10,0,120,0
France,Europe,,2017-03,1247,1212,413,111,141,42,1,1011,0
Germany,Europe,,2017-03,2629,2828,364,139,96,60,3,3060,0
Argentina,America,,2017-03,45,32,16,3,4,7,0,44,0
Netherlands,Europe,,2017-03,903,878,114,47,20,25,3,411,0
Unstated,,,2017-03,5,26,3,1,0,0,0,79,0
"Others, Oceania",Oceania,,2017-03,40,103,9,4,4,4,41,50,0
Italy,Europe,,2017-03,1075,356,57,65,30,92,0,329,0
Australia,Oceania,,2017-03,1179,3657,1134,286,15,100,6,1084,0
"Others, Europe",Europe,,2017-03,1463,1475,203,125,75,199,1,1183,0
Russian Federation,Europe,,2017-03,306,162,23,52,8,121,0,251,0
New Zealand,Oceania,,2017-03,215,354,236,29,6,17,1,225,0
Greece,Europe,,2017-03,64,39,5,6,0,2,0,72,0
Austria,Europe,,2017-03,227,363,54,18,18,5,0,159,0
United Kingdom,Europe,,2017-03,1561,2434,423,113,34,65,1,1338,0
Spain,Europe,,2017-03,383,322,95,40,10,38,0,196,0
Switzerland,Europe,,2017-03,436,441,61,25,8,15,0,191,0
Sweden,Europe,,2017-03,301,311,45,31,26,4,1,167,0
Singapore,Asia,Southeast Asia,2017-03,4635,32683,1177,492,149,167,19,2730,0
Singapore,Asia,Southeast Asia,2017-04,3951,25712,1068,390,57,125,9,2935,0
Malaysia,Asia,Southeast Asia,2017-04,1872,34460,1272,365,83,227,60,4592,0
Germany,Europe,,2017-04,1569,2456,414,66,120,10,2,2834,0
Middle East,Asia,,2017-04,705,535,82,57,12,36,3,533,0
India,Asia,,2017-04,997,501,116,257,11,52,3,1146,0
"Korea,Republic of",Asia,,2017-04,5270,69907,1470,458,413,206,9,6516,0
Japan,Asia,,2017-04,22114,90820,1751,692,240,193,6,10896,0
Mainland China,Asia,,2017-04,1198,166243,4615,53,2876,5,1594,37612,0
France,Europe,,2017-04,959,1552,556,51,228,21,1,1223,0
Greece,Europe,,2017-04,43,49,3,6,0,0,0,63,0
Austria,Europe,,2017-04,156,298,71,4,40,1,0,164,0
United Kingdom,Europe,,2017-04,964,2481,637,71,27,7,3,2381,0
Spain,Europe,,2017-04,197,415,105,15,36,18,1,264,0
Switzerland,Europe,,2017-04,246,477,147,16,17,0,1,314,0
Netherlands,Europe,,2017-04,619,1074,155,21,62,15,0,451,0
Italy,Europe,,2017-04,510,380,96,40,43,17,0,349,0
Indonesia,Asia,Southeast Asia,2017-04,481,3834,758,101,40,86,47,8254,0
HongKong. Macao,Asia,,2017-04,6848,173262,4096,543,237,19,265,5515,0
Philippines,Asia,Southeast Asia,2017-04,641,15016,971,294,143,72,18,16845,0
New Zealand,Oceania,,2017-04,158,544,340,17,11,10,3,384,0
Vietnam,Asia,Southeast Asia,2017-04,839,16886,1864,78,104,39,17,13510,0
Argentina,America,,2017-04,30,21,12,1,4,2,3,60,0
Brazil,America,,2017-04,118,102,39,10,5,1,0,209,0
Unstated,,,2017-04,3,24,7,4,1,2,1,48,0
"Others, Africa",Africa,,2017-04,212,80,41,20,15,22,0,111,0
S. Africa,Africa,,2017-04,79,73,50,11,5,0,0,210,0
Thailand,Asia,Southeast Asia,2017-04,968,25889,1194,243,93,158,8,6160,0
"Others, Oceania",Oceania,,2017-04,30,166,7,11,6,1,57,38,0
"Others, America",America,,2017-04,154,251,93,45,47,23,0,478,0
Belgium,Europe,,2017-04,225,249,66,14,18,3,2,159,0
"Others, Europe",Europe,,2017-04,795,1711,196,69,105,48,1,1452,0
Russian Federation,Europe,,2017-04,188,147,16,12,1,38,0,272,0
Sweden,Europe,,2017-04,266,244,50,23,39,6,0,209,0
Mexico,America,,2017-04,86,155,42,12,9,5,0,220,0
United States of America,America,,2017-04,8554,18352,13617,458,232,40,39,9249,0
Canada,America,,2017-04,738,5470,1423,59,33,13,9,2583,0
"Others, Asia",Asia,,2017-04,254,250,41,63,17,40,24,279,0
"Others, Southeast Asia",Asia,Southeast Asia,2017-04,100,2267,280,23,15,16,119,1100,0
Australia,Oceania,,2017-04,738,4639,1460,137,29,53,8,2880,0
"Korea,Republic of",Asia,,2017-05,5345,66002,1398,607,443,509,11,5218,0
India,Asia,,2017-05,1216,525,142,220,42,126,9,1056,0
HongKong. Macao,Asia,,2017-05,7571,112969,2997,580,234,25,244,3902,0
Mainland China,Asia,,2017-05,1274,154144,4045,58,1238,5,1740,39363,0
Middle East,Asia,,2017-05,880,412,56,56,16,129,1,313,0
Japan,Asia,,2017-05,20430,110099,1468,906,288,198,14,12776,0
Malaysia,Asia,Southeast Asia,2017-05,1702,32712,1356,316,92,195,64,4435,0
Mexico,America,,2017-05,125,90,19,4,9,12,0,74,0
Indonesia,Asia,Southeast Asia,2017-05,560,3820,801,137,60,164,44,8553,0
Canada,America,,2017-05,692,5015,1338,103,58,23,13,1809,0
"Others, Asia",Asia,,2017-05,253,212,49,52,27,56,29,319,0
"Others, Southeast Asia",Asia,Southeast Asia,2017-05,85,903,188,32,7,7,127,470,0
Vietnam,Asia,Southeast Asia,2017-05,782,12850,1837,134,82,78,20,13466,0
Unstated,,,2017-05,2,25,5,0,1,0,1,90,0
"Others, Africa",Africa,,2017-05,156,44,17,16,18,11,1,128,0
S. Africa,Africa,,2017-05,100,91,26,14,2,7,0,166,0
"Others, Oceania",Oceania,,2017-05,23,70,7,5,4,3,29,39,0
New Zealand,Oceania,,2017-05,182,379,210,50,10,7,0,229,0
Australia,Oceania,,2017-05,1003,2820,827,341,23,72,8,1229,0
"Others, Europe",Europe,,2017-05,953,1166,116,128,89,139,3,1072,0
Russian Federation,Europe,,2017-05,271,171,16,38,8,94,0,243,0
Sweden,Europe,,2017-05,296,168,11,21,22,18,0,168,0
Singapore,Asia,Southeast Asia,2017-05,3930,23371,1097,392,98,86,18,2335,0
Greece,Europe,,2017-05,53,12,3,4,0,1,0,76,0
Spain,Europe,,2017-05,283,244,57,18,36,38,0,169,0
Switzerland,Europe,,2017-05,259,344,50,16,19,2,2,145,0
Netherlands,Europe,,2017-05,659,651,95,30,33,11,0,330,0
Italy,Europe,,2017-05,690,302,37,47,40,38,0,299,0
Germany,Europe,,2017-05,1902,1499,271,108,82,59,1,700,0
France,Europe,,2017-05,831,1341,316,85,183,44,1,862,0
Belgium,Europe,,2017-05,207,183,31,23,13,5,0,102,0
"Others, America",America,,2017-05,139,204,73,29,40,18,0,363,0
Argentina,America,,2017-05,49,26,6,7,1,7,0,31,0
Brazil,America,,2017-05,139,70,31,12,3,8,0,100,0
Thailand,Asia,Southeast Asia,2017-05,912,18063,737,164,142,193,12,4975,0
Philippines,Asia,Southeast Asia,2017-05,709,11056,639,397,105,69,40,13901,0
United States of America,America,,2017-05,8613,16951,12408,730,502,90,36,6902,0
Austria,Europe,,2017-05,161,185,33,15,13,4,0,100,0
United Kingdom,Europe,,2017-05,1123,2015,307,125,42,31,1,1579,0
Malaysia,Asia,Southeast Asia,2017-06,1703,33525,1689,424,71,206,92,6146,0
S. Africa,Africa,,2017-06,73,55,26,4,2,4,0,174,0
United States of America,America,,2017-06,8023,17568,16898,572,752,51,30,8241,0
Canada,America,,2017-06,654,3407,1287,86,35,12,8,1728,0
"Others, Asia",Asia,,2017-06,151,224,64,48,19,20,11,296,0
"Others, Southeast Asia",Asia,Southeast Asia,2017-06,62,800,196,22,8,6,103,437,0
Vietnam,Asia,Southeast Asia,2017-06,718,19073,2654,104,124,74,22,14613,0
Thailand,Asia,Southeast Asia,2017-06,1048,11292,650,323,246,161,13,5514,0
Philippines,Asia,Southeast Asia,2017-06,587,10931,584,273,89,186,55,11845,0
Indonesia,Asia,Southeast Asia,2017-06,357,8853,1573,98,316,41,44,12128,0
Singapore,Asia,Southeast Asia,2017-06,3892,28207,1334,432,70,144,14,2802,0
India,Asia,,2017-06,790,331,111,118,24,49,2,1151,0
"Korea,Republic of",Asia,,2017-06,5791,58878,1219,652,423,373,10,4685,0
Unstated,,,2017-06,3,23,5,2,0,0,0,585,0
Japan,Asia,,2017-06,24087,102757,1398,837,378,194,15,12307,0
Mainland China,Asia,,2017-06,1322,143706,4978,65,862,7,1521,36617,0
HongKong. Macao,Asia,,2017-06,8012,130930,3851,581,238,17,282,4007,0
Mexico,America,,2017-06,76,59,23,5,18,15,1,150,0
"Others, Africa",Africa,,2017-06,95,47,32,17,11,13,2,135,0
Brazil,America,,2017-06,80,77,32,10,5,8,0,139,0
"Others, America",America,,2017-06,149,227,144,34,54,19,0,417,0
"Others, Oceania",Oceania,,2017-06,21,65,16,4,9,0,50,55,0
New Zealand,Oceania,,2017-06,188,313,196,35,3,8,0,382,0
Australia,Oceania,,2017-06,822,2651,902,170,43,40,8,2147,0
"Others, Europe",Europe,,2017-06,821,1274,212,109,122,76,3,1193,0
Russian Federation,Europe,,2017-06,191,125,14,19,20,13,0,252,0
Sweden,Europe,,2017-06,176,217,125,20,21,4,0,141,0
Greece,Europe,,2017-06,50,26,6,5,0,4,0,56,0
Argentina,America,,2017-06,28,10,11,4,1,0,0,66,0
Austria,Europe,,2017-06,163,151,54,11,11,1,0,100,0
Spain,Europe,,2017-06,231,268,98,19,37,10,6,225,0
Switzerland,Europe,,2017-06,260,239,40,17,19,2,0,169,0
Netherlands,Europe,,2017-06,536,488,73,34,39,2,0,317,0
Italy,Europe,,2017-06,619,299,77,33,18,26,1,320,0
Germany,Europe,,2017-06,1472,1156,233,102,52,13,3,649,0
France,Europe,,2017-06,795,858,370,69,199,15,1,776,0
Belgium,Europe,,2017-06,212,159,53,15,9,6,0,74,0
United Kingdom,Europe,,2017-06,929,1630,327,84,34,39,2,1860,0
Middle East,Asia,,2017-06,574,347,55,45,26,44,5,298,0
Unstated,,,2017-07,2,43,4,0,0,0,0,56,0
France,Europe,,2017-07,626,1504,744,51,137,19,0,914,0
"Others, Africa",Africa,,2017-07,80,47,24,70,29,2,2,214,0
S. Africa,Africa,,2017-07,68,73,47,12,3,0,0,324,0
New Zealand,Oceania,,2017-07,123,365,261,34,3,3,4,253,0
Germany,Europe,,2017-07,1522,1322,416,73,77,8,1,796,0
Indonesia,Asia,Southeast Asia,2017-07,337,2689,799,140,117,10,50,14070,0
Philippines,Asia,Southeast Asia,2017-07,398,7522,518,247,37,24,49,9814,0
Thailand,Asia,Southeast Asia,2017-07,791,11405,660,219,264,57,12,4688,0
Vietnam,Asia,Southeast Asia,2017-07,483,18834,2572,144,274,15,19,14907,0
"Others, Southeast Asia",Asia,Southeast Asia,2017-07,37,943,182,18,30,0,90,696,0
"Others, Asia",Asia,,2017-07,149,348,55,68,25,9,14,381,0
Singapore,Asia,Southeast Asia,2017-07,3862,14633,968,366,82,34,11,2467,0
"Others, Oceania",Oceania,,2017-07,9,46,9,5,4,0,56,46,0
Russian Federation,Europe,,2017-07,178,108,32,10,24,9,0,308,0
"Others, America",America,,2017-07,64,173,82,46,29,17,0,458,0
Argentina,America,,2017-07,15,30,3,3,3,0,1,31,0
Brazil,America,,2017-07,54,57,32,6,6,4,0,149,0
Mexico,America,,2017-07,55,82,34,3,16,0,0,116,0
United States of America,America,,2017-07,6842,16863,14533,420,533,60,34,8247,0
Belgium,Europe,,2017-07,145,364,103,14,14,2,0,148,0
Malaysia,Asia,Southeast Asia,2017-07,1597,15113,955,392,195,28,70,4769,0
Canada,America,,2017-07,526,4461,1753,53,58,7,10,1915,0
India,Asia,,2017-07,718,280,61,320,26,6,0,1499,0
Middle East,Asia,,2017-07,619,436,73,38,19,9,6,437,0
Australia,Oceania,,2017-07,718,2558,724,135,32,8,9,1381,0
"Others, Europe",Europe,,2017-07,520,1553,215,104,132,21,1,1145,0
Sweden,Europe,,2017-07,88,314,46,9,14,2,1,125,0
Greece,Europe,,2017-07,38,15,12,3,2,2,0,70,0
Austria,Europe,,2017-07,137,235,114,9,19,1,0,83,0
Spain,Europe,,2017-07,203,321,126,10,34,2,0,231,0
United Kingdom,Europe,,2017-07,878,1772,588,75,37,24,2,1386,0
Switzerland,Europe,,2017-07,193,366,140,13,20,3,0,137,0
Netherlands,Europe,,2017-07,524,1336,184,17,27,1,0,550,0
Italy,Europe,,2017-07,545,381,104,43,39,4,2,386,0
HongKong. Macao,Asia,,2017-07,6926,139919,4022,647,372,5,237,4695,0
Mainland China,Asia,,2017-07,1294,181797,7325,39,855,4,1954,43983,0
Japan,Asia,,2017-07,22038,93924,1943,816,386,57,14,12060,0
"Korea,Republic of",Asia,,2017-07,5047,58257,1461,412,583,179,6,5375,0
Italy,Europe,,2017-08,305,462,116,15,33,8,1,762,0
Austria,Europe,,2017-08,129,184,93,5,22,0,0,147,0
Netherlands,Europe,,2017-08,433,933,119,12,51,3,4,566,0
Switzerland,Europe,,2017-08,190,347,56,7,15,2,0,288,0
Spain,Europe,,2017-08,198,464,112,8,31,49,0,310,0
United Kingdom,Europe,,2017-08,716,1824,527,62,34,13,0,1792,0
France,Europe,,2017-08,451,1524,500,30,178,11,0,1421,0
Greece,Europe,,2017-08,27,28,4,0,2,1,0,91,0
"Others, Africa",Africa,,2017-08,69,35,19,14,14,1,1,591,0
Russian Federation,Europe,,2017-08,180,135,42,28,50,3,0,942,0
"Others, Europe",Europe,,2017-08,585,1294,134,46,126,16,1,3875,0
Australia,Oceania,,2017-08,665,1951,595,100,25,8,6,1224,0
New Zealand,Oceania,,2017-08,147,306,138,22,3,1,5,339,0
"Others, Oceania",Oceania,,2017-08,20,58,10,5,14,1,16,83,0
S. Africa,Africa,,2017-08,48,99,58,15,5,0,0,612,0
Unstated,,,2017-08,1,31,0,0,1,0,0,60,0
Belgium,Europe,,2017-08,136,186,43,8,30,4,0,190,0
Sweden,Europe,,2017-08,150,200,19,8,30,1,0,239,0
"Others, America",America,,2017-08,94,192,95,13,68,1,0,984,0
Germany,Europe,,2017-08,1211,1591,419,40,135,8,1,1062,0
Brazil,America,,2017-08,55,49,21,7,18,2,0,478,0
Argentina,America,,2017-08,15,18,5,0,1,1,0,292,0
Mainland China,Asia,,2017-08,1250,196431,5909,59,1498,0,2260,42592,0
Japan,Asia,,2017-08,18890,135532,2478,763,1149,62,15,13354,0
"Korea,Republic of",Asia,,2017-08,4707,62790,1309,372,468,277,4,5801,0
India,Asia,,2017-08,561,258,96,117,35,6,3,1797,0
Middle East,Asia,,2017-08,525,543,88,50,32,11,6,997,0
Malaysia,Asia,Southeast Asia,2017-08,1660,20640,1051,432,227,63,81,6050,0
Singapore,Asia,Southeast Asia,2017-08,3823,15074,907,388,70,37,18,2185,0
Indonesia,Asia,Southeast Asia,2017-08,348,2495,573,178,240,33,45,10900,0
HongKong. Macao,Asia,,2017-08,7182,159206,3848,549,583,10,256,5414,0
Thailand,Asia,Southeast Asia,2017-08,772,8731,706,280,148,66,11,4804,0
Vietnam,Asia,Southeast Asia,2017-08,438,15207,2217,166,238,36,25,13357,0
"Others, Southeast Asia",Asia,Southeast Asia,2017-08,47,1331,184,64,19,2,51,767,0
"Others, Asia",Asia,,2017-08,159,327,58,58,59,26,6,867,0
Canada,America,,2017-08,503,4564,1544,46,53,6,3,2682,0
United States of America,America,,2017-08,7503,13863,11102,408,310,46,28,8731,0
Mexico,America,,2017-08,69,107,32,7,20,0,0,446,0
Philippines,Asia,Southeast Asia,2017-08,341,8329,426,311,63,8,41,10192,0
S. Africa,Africa,,2017-09,67,72,34,12,3,4,0,154,0
"Others, Oceania",Oceania,,2017-09,26,47,5,9,24,0,47,132,0
New Zealand,Oceania,,2017-09,168,370,217,30,8,6,2,209,0
Belgium,Europe,,2017-09,171,214,25,22,60,1,0,94,0
Australia,Oceania,,2017-09,746,3204,1105,197,45,23,4,956,0
"Others, Europe",Europe,,2017-09,796,1219,135,133,200,46,2,1165,0
Russian Federation,Europe,,2017-09,215,132,16,27,38,16,0,318,0
Sweden,Europe,,2017-09,256,193,32,11,70,2,0,148,0
United Kingdom,Europe,,2017-09,1034,1744,297,134,25,14,3,1296,0
Austria,Europe,,2017-09,185,230,39,17,27,2,0,94,0
Spain,Europe,,2017-09,174,302,57,27,65,5,0,241,0
France,Europe,,2017-09,798,964,269,96,246,24,3,865,0
Germany,Europe,,2017-09,1641,1733,280,143,314,28,3,794,0
Switzerland,Europe,,2017-09,229,347,56,26,21,5,0,132,0
Italy,Europe,,2017-09,501,290,51,63,77,18,0,318,0
"Others, Africa",Africa,,2017-09,96,74,11,58,42,10,1,439,0
Netherlands,Europe,,2017-09,621,662,95,54,84,10,0,308,0
Greece,Europe,,2017-09,53,20,3,5,2,1,0,98,0
Unstated,,,2017-09,5,11,1,3,1,0,0,63,0
Vietnam,Asia,Southeast Asia,2017-09,444,14290,2225,216,270,66,13,13782,0
Argentina,America,,2017-09,25,25,9,7,2,1,0,34,0
HongKong. Macao,Asia,,2017-09,7384,97246,3021,766,2343,15,261,10473,0
Mainland China,Asia,,2017-09,1212,159772,4555,62,7596,10,1867,49617,0
Japan,Asia,,2017-09,22085,128789,1381,984,774,143,16,10220,0
"Korea,Republic of",Asia,,2017-09,5962,57880,1368,629,666,341,1,5165,0
India,Asia,,2017-09,631,405,70,200,72,41,3,1684,0
Middle East,Asia,,2017-09,587,546,53,74,32,13,3,396,0
"Others, America",America,,2017-09,132,194,75,60,96,3,0,728,0
Singapore,Asia,Southeast Asia,2017-09,3907,18282,940,411,143,136,9,2537,0
Malaysia,Asia,Southeast Asia,2017-09,1923,23214,998,468,538,187,77,10812,0
Philippines,Asia,Southeast Asia,2017-09,302,9329,363,372,72,64,50,9323,0
Thailand,Asia,Southeast Asia,2017-09,881,10874,599,364,207,104,7,5289,0
"Others, Southeast Asia",Asia,Southeast Asia,2017-09,41,1505,175,60,21,8,56,844,0
"Others, Asia",Asia,,2017-09,177,308,57,163,80,21,19,1113,0
Canada,America,,2017-09,633,4177,1129,88,45,6,12,1536,0
United States of America,America,,2017-09,8436,12328,8413,586,240,51,27,6053,0
Mexico,America,,2017-09,86,109,14,27,18,0,0,90,0
Brazil,America,,2017-09,101,45,19,20,10,5,0,114,0
Indonesia,Asia,Southeast Asia,2017-09,315,3608,737,186,427,68,64,9878,0
S. Africa,Africa,,2017-10,96,92,41,18,1,4,0,196,0
Unstated,,,2017-10,5,21,3,0,0,0,0,72,0
"Others, Africa",Africa,,2017-10,164,57,29,64,39,11,0,188,0
"Others, Oceania",Oceania,,2017-10,27,59,8,19,3,2,35,56,0
Indonesia,Asia,Southeast Asia,2017-10,399,3863,804,185,89,48,62,9109,0
Australia,Oceania,,2017-10,839,4554,989,234,29,26,5,1248,0
HongKong. Macao,Asia,,2017-10,7400,99338,3274,698,147,25,218,5101,0
Japan,Asia,,2017-10,23023,123206,1459,1160,506,153,13,10817,0
"Korea,Republic of",Asia,,2017-10,4980,80300,1528,618,407,384,2,5988,0
India,Asia,,2017-10,605,356,68,187,26,40,3,1430,0
Middle East,Asia,,2017-10,728,529,56,74,10,44,1,559,0
Malaysia,Asia,Southeast Asia,2017-10,1748,36660,1182,572,131,114,69,4957,0
Singapore,Asia,Southeast Asia,2017-10,3967,27319,1095,460,75,83,21,2939,0
Philippines,Asia,Southeast Asia,2017-10,338,12861,560,576,60,37,64,9867,0
Thailand,Asia,Southeast Asia,2017-10,872,19043,906,273,162,94,7,5116,0
Vietnam,Asia,Southeast Asia,2017-10,529,16387,2429,181,127,61,35,14810,0
"Others, Southeast Asia",Asia,Southeast Asia,2017-10,114,1425,164,78,13,23,36,717,0
"Others, Asia",Asia,,2017-10,225,349,81,103,86,19,30,434,0
Canada,America,,2017-10,835,6544,1548,79,33,14,7,2304,0
United States of America,America,,2017-10,9708,17397,11018,705,196,62,53,7372,0
Mexico,America,,2017-10,106,82,23,11,11,9,0,118,0
Brazil,America,,2017-10,104,112,40,6,1,4,0,123,0
Argentina,America,,2017-10,45,36,12,8,6,7,0,59,0
"Others, Europe",Europe,,2017-10,1101,1699,146,152,103,81,0,1274,0
Russian Federation,Europe,,2017-10,243,161,42,20,10,21,1,349,0
Sweden,Europe,,2017-10,315,302,54,20,63,4,0,163,0
Greece,Europe,,2017-10,62,27,5,3,2,2,0,60,0
Austria,Europe,,2017-10,219,471,69,14,15,2,1,172,0
United Kingdom,Europe,,2017-10,1262,2863,422,149,22,41,2,1606,0
New Zealand,Oceania,,2017-10,183,565,236,43,4,3,0,247,0
Spain,Europe,,2017-10,250,324,68,20,30,15,0,246,0
Netherlands,Europe,,2017-10,800,1096,113,27,80,9,0,322,0
Italy,Europe,,2017-10,822,380,75,66,40,43,0,356,0
Germany,Europe,,2017-10,2234,2952,379,133,198,36,3,1072,0
France,Europe,,2017-10,1098,1571,449,155,176,34,1,1040,0
Belgium,Europe,,2017-10,188,352,69,19,58,2,0,108,0
"Others, America",America,,2017-10,153,221,58,82,60,6,0,427,0
Switzerland,Europe,,2017-10,328,449,96,24,19,9,0,198,0
Mainland China,Asia,,2017-10,1234,209736,4504,58,1453,6,2626,44209,0
HongKong. Macao,Asia,,2017-11,7906,117123,3178,975,150,14,295,4289,0
Unstated,,,2017-11,7,24,3,3,0,0,0,51,0
France,Europe,,2017-11,1134,1625,368,148,170,17,1,1161,0
Germany,Europe,,2017-11,2364,2396,285,141,219,13,1,992,0
Italy,Europe,,2017-11,796,485,62,67,36,27,0,466,0
Netherlands,Europe,,2017-11,761,1000,96,38,71,1,0,503,0
Switzerland,Europe,,2017-11,315,433,57,27,18,2,0,224,0
Spain,Europe,,2017-11,311,407,68,46,45,16,0,229,0
United Kingdom,Europe,,2017-11,1396,2557,360,145,23,22,2,2118,0
Belgium,Europe,,2017-11,236,301,23,29,44,3,0,135,0
Austria,Europe,,2017-11,226,339,50,17,30,1,0,171,0
Sweden,Europe,,2017-11,286,308,49,21,54,5,0,181,0
Russian Federation,Europe,,2017-11,207,206,31,75,19,5,1,352,0
"Others, Europe",Europe,,2017-11,1003,1614,117,178,95,29,1,1289,0
Australia,Oceania,,2017-11,834,4377,1092,246,75,16,7,2058,0
New Zealand,Oceania,,2017-11,151,422,263,40,8,2,0,288,0
"Others, Oceania",Oceania,,2017-11,22,56,13,6,10,1,31,39,0
S. Africa,Africa,,2017-11,92,70,36,14,5,1,0,141,0
Greece,Europe,,2017-11,63,30,5,9,0,0,0,76,0
"Others, America",America,,2017-11,157,200,63,52,41,11,0,361,0
"Others, Africa",Africa,,2017-11,143,63,16,36,20,8,0,205,0
Brazil,America,,2017-11,92,89,25,16,4,3,0,111,0
Mainland China,Asia,,2017-11,1417,184221,4179,72,1294,3,2272,50598,0
